"","date","demand","coal","nuclear","ccgt","wind","pumped","hydro","total_other"
"1",2011 May,31862.3756723218,6813.19092244621,8524.82252226094,13396.0035219982,1448.82606534484,287.09316478624,525.403857986284,589.559928239589
"2",2011 Jun,33652.2556240393,8806.57665034265,8033.86243475093,14223.6734100127,707.889972077663,304.765038861794,315.250569290222,895.653017298026
"3",2011 Jul,32535.860978346,7412.51901172741,7128.56931572394,15439.22678577,551.027249580234,298.385515071737,265.932775871628,1213.59929048626
"4",2011 Aug,32366.2367922753,8114.73834284852,6876.67995867437,14676.527793714,731.052343399476,317.383311080425,331.800894663523,1150.71393443619
"5",2011 Sep,33860.1845143097,9107.08078773079,6137.47823355393,15669.1331412964,1313.28776029977,334.272729678294,481.999386418685,793.924871457021
"6",2011 Oct,35311.1671379543,11537.5941285948,5667.27849303457,14939.5432145759,1581.12993898076,337.984424482461,579.507782643771,579.431448480493
"7",2011 Nov,38952.7947907079,16987.7782079999,6061.23945285394,12775.9040208812,1613.17218146738,350.748040479463,559.65780157599,574.241651293337
"8",2011 Dec,39651.9963665919,17378.2248949553,6983.01847579757,10417.949143115,2018.66245885078,385.7529405407,722.259775890729,1702.62556185722
"9",2012 Jan,40442.5796298521,17446.0357330426,7669.0997517873,10612.1688977789,1724.20590285287,335.662836126892,714.084661338023,1877.34743291106
"10",2012 Feb,43420.7692406474,20238.9560036992,8341.66923373386,11162.8722589029,1632.31882395767,386.437576169625,558.283505573718,322.258567103395
"11",2012 Mar,37856.107409634,18419.2066416917,6317.3431662626,9551.97322655765,1148.71017466815,360.238790426915,423.922506462047,1242.68325393247
"12",2012 Apr,36105.2115968856,16013.7768906191,8056.65051100563,8842.02971333608,1083.70183871902,287.733562605554,211.859403054111,1275.94047924136
"13",2012 May,34672.8155894271,13522.918310706,7929.19437725771,10122.4728070852,946.637983492063,303.530171894641,211.838030218414,1232.01589917458
"14",2012 Jun,32559.764733848,11589.1896596104,7815.01925428204,10106.3720064345,1097.85474039139,318.56875980309,171.205024029404,1154.96665402053
"15",2012 Jul,32357.949229422,11950.1183625962,7157.66807654711,9839.61446506003,804.470479453342,311.150723268667,221.174094386796,1861.29553130561
"16",2012 Aug,32254.7481566834,11562.9486908433,8225.18332636833,8815.44798512715,1000.35335889101,320.791717010711,235.604023535008,1850.16733069271
"17",2012 Sep,33335.1902603859,13815.8858187814,7538.72117968108,6818.63172690364,1943.81187280956,309.342137321624,353.538132594359,2239.17806058592
"18",2012 Oct,36310.3212561968,17023.6790920124,6782.47158704823,9043.46549427912,1312.34478868647,332.687085508641,386.377124683955,1145.87794096244
"19",2012 Nov,39440.6836940023,18049.4445533858,6506.16383411431,9724.60707291021,2059.79067039225,377.399953999988,523.639479481943,1907.68616155539
"20",2012 Dec,40197.979703862,18143.3208027626,7883.35994590301,8858.34237895735,2499.49975824949,340.843410426767,467.168700192145,1633.50199352151
"21",2013 Jan,41998.9859811629,18354.5460978674,8644.0794710652,9806.01765436414,2332.65302974339,327.515758888868,477.225392941166,1538.67584086837
"22",2013 Feb,42029.4063366998,18327.4213531624,7759.47690021043,11141.8009784514,2055.63572940565,341.150181433311,413.092061224371,1491.89918436361
"23",2013 Mar,40818.5883699908,17912.2678478273,7253.5487551882,10683.1434431061,2146.7694843435,329.984977346079,159.205291543749,2064.77869964378
"24",2013 Apr,36552.0576609533,14762.1719172623,7659.31305985853,8867.59767178691,2264.8466640222,313.397079949793,287.045835709652,2047.66357977036
"25",2013 May,33354.2572852256,13175.1065868686,5974.22293122888,8671.18427303584,1997.38193009456,314.220825389861,365.010842095224,2200.79784882047
"26",2013 Jun,31742.0903622295,10327.6109038787,6377.63976247795,10533.2660346575,1449.82732725819,279.810355081251,149.590428597956,2063.67552952705
"27",2013 Jul,32386.069747834,10915.1083119882,7889.52245597363,8976.47162181385,974.125835874629,283.487132468487,143.54099435069,2689.13766494918
"28",2013 Aug,31518.8344124396,11610.7017583422,8564.05703833081,7027.72795729644,1338.80159422556,309.573266090324,181.214514745754,2019.32833367657
